Student_ID,Student_Name,Gender,Branch,Year_of_Study,CGPA,10th_Percentage,12th_Percentage,Active_Backlogs,History_of_Backlogs,Skills,Certifications,Internships_Completed,Placed_Status
24eg103a01,Kavya,Female,ECE,1,8.81,76,72,0,3,"ML, MATLAB, Python",2,0,No
24eg104e02,Arjun,Male,IT,3,8.85,71,61,1,4,"Java, AutoCAD, C, ML",2,1,No
24eg103c03,Rohit,Male,ECE,4,8.31,89,46,0,2,"ML, DL, SQL, Python, MATLAB, C",2,0,No
24eg108b04,Sneha,Female,CHEM,1,4.22,94,71,0,3,"SQL, Python, Java, ML, C",0,1,No
24eg107d05,Naveen,Male,EEE,2,6.89,57,62,0,3,"C, ML",1,3,No
24eg101c06,Suresh,Male,CSE,1,5.71,69,67,2,5,"ML, SQL, MATLAB, DL",3,1,No
24eg107a07,Arjun,Male,EEE,4,4.44,88,79,3,5,"AutoCAD, SQL, C, DL, ML",1,1,No
24eg108f08,Kiran,Male,CHEM,4,5.11,85,84,0,0,"Python, AutoCAD",0,1,No
24eg103f09,Rohit,Male,ECE,2,7.35,98,97,3,4,"Python, SQL, C",3,2,Yes
24eg103f10,Naveen,Male,ECE,1,7.48,84,93,1,4,"DL, ML, Python, C, MATLAB",2,2,No
24eg103c11,Kiran,Male,ECE,2,5.07,57,80,0,3,"Python, C, MATLAB, ML",1,0,Yes
24eg106b12,Sneha,Female,CIVIL,3,7.16,55,70,0,1,"C, MATLAB, AutoCAD",1,0,Yes
24eg102c13,Amit,Male,AIML,1,7.19,69,51,0,2,"C, DL, ML, MATLAB, SQL",2,0,Yes
24eg106e14,Divya,Female,CIVIL,3,6.08,64,89,0,2,"Python, ML, SQL, AutoCAD",2,3,Yes
24eg107c15,Priya,Female,EEE,1,8.67,59,91,0,0,"Python, ML, AutoCAD, C, SQL, Java",2,3,Yes
24eg101a16,Vikas,Male,CSE,4,9.43,97,99,0,3,"Java, DL, ML, SQL, MATLAB, AutoCAD",2,2,No
24eg101b17,Divya,Female,CSE,2,5.84,59,78,0,0,"Java, SQL, ML, Python",1,2,Yes
24eg108e18,Rohit,Male,CHEM,3,5.11,93,49,0,2,"MATLAB, AutoCAD, C, ML, Python",3,1,No
24eg107c19,Arjun,Male,EEE,2,7.88,57,90,4,7,"Python, C, SQL, ML",3,1,No
24eg103b20,Anjali,Female,ECE,3,8.58,91,99,0,1,"AutoCAD, Java, C",1,1,No
24eg105d21,Rohit,Male,MECH,1,6.48,87,62,0,2,"SQL, Python, MATLAB",0,2,Yes
24eg106c22,Naveen,Male,CIVIL,2,7.43,59,53,0,1,"DL, Python, Java",0,2,No
24eg106c23,Rohit,Male,CIVIL,2,5.0,67,72,2,3,"ML, Python, DL, Java, MATLAB, AutoCAD",2,2,Yes
24eg102a24,Rahul,Male,AIML,2,7.66,88,49,0,0,"C, MATLAB, Java",1,0,Yes
