Student_ID,Student_Name,Gender,Branch,Year_of_Study,CGPA,10th_Percentage,12th_Percentage,Active_Backlogs,History_of_Backlogs,Skills,Certifications,Internships_Completed,Placed_Status,Eligible_Companies,Eligible_Count
EG00001,Sarvani Patel,Male,AIML,1st Year,7.75,75.2,81.8,1,3,"Deep Learning, Power BI, AWS, Git, TensorFlow, Flask",,2,No,"Wipro, HCL",2
EG00002,Deepa Varma,Male,AIML,4th Year,7.05,78.9,81.1,2,2,"Git, Tableau, SQL","Oracle Java, IBM Data Science",0,Yes,None,0
EG00003,Srinivas Desai,Female,MECH,3rd Year,7.91,76.0,67.7,0,1,"Django, SQL, React, Flask, JavaScript, Machine Learning","Cisco CCNA, Google Data Analytics, Coursera ML",0,No,"Wipro, HCL, Deloitte",3
EG00004,Nikhil Desai,Female,EEE,4th Year,8.88,83.1,84.4,0,2,"DSA, C++, R, Flask, Deep Learning, Git","NPTEL Python, Oracle Java",0,No,"TCS, Wipro, Cognizant, HCL",4
EG00005,Pooja Singh,Female,ECE,3rd Year,6.94,94.0,61.6,0,0,"Deep Learning, Keras, AWS, HTML/CSS, Flask, Java","NPTEL Python, Coursera ML",0,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00006,Suresh Singh,Female,IT,3rd Year,6.94,74.3,70.8,0,0,"Tableau, Flask, TensorFlow",,1,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00007,Aarav Shah,Male,ECE,4th Year,8.94,92.0,56.0,0,1,"Power BI, Python",HackerRank SQL,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00008,Arjun Choudhary,Female,ECE,2nd Year,8.04,74.2,95.1,1,1,"C++, JavaScript","NPTEL Python, Udemy DSA",1,No,"Wipro, HCL",2
EG00009,Jayanth Murthy,Female,EEE,1st Year,6.68,73.5,75.5,0,0,"SQL, React","Coursera ML, Oracle Java, Google Data Analytics",1,No,"TCS, Wipro, Cognizant, HCL",4
EG00010,Rajesh Naidu,Male,ECE,1st Year,7.8,90.2,100.0,0,0,"Django, Keras, C++, HTML/CSS, AWS","NPTEL Python, Oracle Java, IBM Data Science",1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00011,Chetan Desai,Female,ECE,4th Year,6.69,91.2,86.8,0,0,"AWS, Deep Learning, React, Java, Django, Keras",HackerRank SQL,0,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00012,Isha Singh,Female,CSE,4th Year,6.69,90.5,82.9,0,0,"HTML/CSS, Machine Learning, R, DSA, Java","IBM Data Science, Coursera ML",2,Yes,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00013,Gayatri Tiwari,Female,IT,4th Year,7.47,68.8,71.6,0,1,"Git, Python","HackerRank SQL, NPTEL Python, AWS Cloud Practitioner",1,No,"TCS, Infosys, Wipro, Accenture, Cognizant, HCL, Deloitte",7
EG00014,Pranav Rajan,Male,AIML,4th Year,5.1,77.3,66.5,0,2,"Deep Learning, R, Python, Node.js, TensorFlow",,1,No,None,0
EG00015,Rohit Gupta,Male,CHEM,4th Year,5.3,90.2,83.8,0,0,"Power BI, Python, R, AWS, TensorFlow",Google Data Analytics,1,Yes,None,0
EG00016,Rajesh Singh,Male,ECE,3rd Year,6.58,82.4,77.2,0,0,"AWS, Python, Deep Learning, Tableau, Django, HTML/CSS","HackerRank SQL, NPTEL Python, Udemy DSA",3,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00017,Rajesh Prasad,Female,ECE,1st Year,6.09,71.3,63.3,0,1,"Django, Git, Keras","Google Data Analytics, Cisco CCNA",0,Yes,"TCS, Wipro, Cognizant, HCL",4
EG00018,Uma Desai,Male,AIML,3rd Year,7.55,86.6,61.3,0,0,"Keras, Flask, Node.js","Cisco CCNA, NPTEL Python",0,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00019,Jayanth Choudhary,Male,IT,2nd Year,6.2,74.9,67.5,0,1,"Keras, Python","Oracle Java, HackerRank SQL",2,No,"TCS, Wipro, Cognizant, HCL",4
EG00020,Suresh Verma,Female,CSE,2nd Year,5.65,99.9,98.0,0,0,"SQL, AWS, Python, Deep Learning","Oracle Java, Cisco CCNA",1,No,HCL,1
EG00021,Bhavya Joshi,Female,MECH,4th Year,8.81,97.4,100.0,0,2,"SQL, TensorFlow, Git, HTML/CSS",Cisco CCNA,0,No,"Wipro, HCL, Deloitte",3
EG00022,Sneha Sharma,Male,IT,1st Year,6.95,88.0,80.3,1,1,"Machine Learning, JavaScript, HTML/CSS, Keras, React","Oracle Java, AWS Cloud Practitioner, Udemy DSA",1,No,"Wipro, HCL",2
EG00023,Rahul Iyer,Male,IT,1st Year,7.27,95.6,79.6,0,0,"AWS, Python","HackerRank SQL, Google Data Analytics",1,No,"TCS, Infosys, Wipro, Accenture, Cognizant, HCL, Deloitte",7
EG00024,Vishnu Sharma,Female,ECE,3rd Year,5.63,82.6,74.3,1,1,"React, JavaScript, Java, SQL",AWS Cloud Practitioner,1,No,HCL,1
EG00025,Deepa Joshi,Female,ECE,2nd Year,6.6,89.7,67.7,0,0,"Deep Learning, R, SQL, Django, TensorFlow, Machine Learning",Udemy DSA,1,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00026,Videm Iyengar,Female,MECH,2nd Year,7.32,96.8,93.1,0,2,"Python, Node.js, Django, Tableau, R","IBM Data Science, HackerRank SQL",3,No,"Wipro, HCL, Deloitte",3
EG00027,Sarvani Verma,Female,IT,2nd Year,5.93,84.5,98.6,0,2,"Deep Learning, JavaScript","HackerRank SQL, Udemy DSA",3,Yes,HCL,1
EG00028,Ravi Choudhary,Female,CIVIL,3rd Year,7.61,79.4,68.2,1,2,"React, Keras","NPTEL Python, Google Data Analytics",3,No,None,0
EG00029,Pooja Mehta,Male,EEE,1st Year,6.54,65.0,77.1,2,2,"Node.js, HTML/CSS, SQL, Tableau",Cisco CCNA,1,Yes,None,0
EG00030,Vikas Iyer,Female,CIVIL,4th Year,6.88,81.2,73.1,1,2,"Tableau, Java, JavaScript, HTML/CSS, SQL","Coursera ML, Oracle Java",0,No,None,0
EG00031,Deepa Bhat,Male,CSE,4th Year,6.54,90.2,73.4,0,0,"Python, Git, HTML/CSS, Node.js",,1,No,"TCS, Infosys, Wipro, Accenture, Cognizant, HCL",6
EG00032,Kavya Mehta,Male,ECE,4th Year,9.24,91.5,91.0,1,3,"Django, React, Git, Machine Learning, TensorFlow, Node.js","Udemy DSA, Cisco CCNA",1,Yes,"Wipro, HCL",2
EG00033,Rajesh Patel,Female,AIML,4th Year,7.19,87.0,63.6,2,2,"Java, C++, Machine Learning","Cisco CCNA, IBM Data Science",0,No,None,0
EG00034,Kiran Verma,Male,IT,4th Year,6.04,76.6,83.1,0,0,"Machine Learning, SQL","Coursera ML, Google Data Analytics",1,No,"TCS, Wipro, Cognizant, HCL",4
EG00035,Santosh Shastri,Male,AIML,2nd Year,8.1,62.2,86.0,0,1,"Machine Learning, Power BI, Deep Learning, Java",,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00036,Manoj Reddy,Male,AIML,4th Year,5.86,77.0,76.4,0,1,"TensorFlow, HTML/CSS, Tableau, AWS, R",HackerRank SQL,2,No,HCL,1
EG00037,Akash Prasad,Female,CSE,3rd Year,7.43,79.0,87.8,0,1,"SQL, Django, TensorFlow, Keras, Machine Learning",,0,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00038,Vishnu Sharma,Female,ECE,2nd Year,5.04,78.9,79.6,0,0,"Python, Git, TensorFlow, Keras",,1,Yes,None,0
EG00039,Kiran Pandey,Male,AIML,4th Year,5.74,88.2,91.4,2,3,"TensorFlow, R, Django","Coursera ML, HackerRank SQL",1,No,None,0
EG00040,Vikas Iyer,Female,AIML,2nd Year,7.42,100.0,61.3,2,3,"AWS, Node.js, Machine Learning, JavaScript, SQL","Google Data Analytics, Cisco CCNA",0,No,None,0
EG00041,Uma Rajan,Male,ECE,1st Year,8.01,83.2,74.2,2,3,"SQL, Git, Python, C++",IBM Data Science,0,No,None,0
EG00042,Meera Krishnan,Male,AIML,4th Year,7.39,79.8,77.2,0,0,"Django, JavaScript, C++, React, R",,0,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00043,Sneha Shastri,Male,CSE,2nd Year,7.07,79.4,48.6,0,1,"C++, Java, JavaScript, TensorFlow, Django",HackerRank SQL,0,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00044,Shiva Pillai,Female,CIVIL,2nd Year,6.87,83.2,66.1,0,0,"HTML/CSS, TensorFlow","IBM Data Science, Udemy DSA",0,No,None,0
EG00045,Nikhil Desai,Female,CSE,4th Year,5.57,73.7,69.1,0,0,"Django, Git, C++, AWS","Udemy DSA, Oracle Java",2,No,HCL,1
EG00046,Kiran Patel,Female,IT,1st Year,6.41,83.2,88.4,0,0,"React, Keras, Power BI, Python, TensorFlow, Java",,0,Yes,"TCS, Wipro, Cognizant, HCL",4
EG00047,Farhan Pandey,Female,AIML,4th Year,6.69,86.5,70.2,0,1,"C++, Machine Learning, Tableau, R, Java",Oracle Java,2,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00048,Manoj Joshi,Female,ECE,2nd Year,8.36,84.1,69.0,0,0,"Tableau, Flask, Node.js, JavaScript, SQL","Cisco CCNA, Oracle Java, NPTEL Python",2,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00049,Uma Nair,Female,CSE,4th Year,7.58,86.6,87.0,0,0,"Flask, Deep Learning, TensorFlow, Node.js, Java","Coursera ML, HackerRank SQL",1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00050,Farhan Murthy,Female,CSE,2nd Year,5.26,86.3,60.2,0,1,"JavaScript, Node.js, AWS, DSA, Git, Machine Learning",AWS Cloud Practitioner,0,No,None,0
EG00051,Nikhil Singh,Male,MECH,2nd Year,7.56,64.3,55.2,2,2,"Deep Learning, Django",AWS Cloud Practitioner,1,No,None,0
EG00052,Rohit Varma,Female,EEE,2nd Year,6.78,88.4,74.0,0,0,"R, Git, C++, Java, Keras, React",,0,No,"TCS, Wipro, Cognizant, HCL",4
EG00053,Arjun Gupta,Female,AIML,4th Year,6.46,75.3,62.1,0,1,"HTML/CSS, R","Udemy DSA, Cisco CCNA",0,No,"TCS, Wipro, Cognizant, HCL",4
EG00054,Neha Verma,Female,CSE,1st Year,7.87,71.0,62.5,3,3,"Power BI, React, R, HTML/CSS, Python",,1,Yes,None,0
EG00055,Venkat Chowdary,Male,MECH,4th Year,8.33,71.0,84.3,0,0,"Django, C++, Flask",AWS Cloud Practitioner,0,Yes,"Wipro, HCL, Deloitte",3
EG00056,Sarvani Desai,Male,AIML,2nd Year,8.22,86.3,87.6,0,0,"Django, JavaScript, Deep Learning, Java, Python","Coursera ML, Udemy DSA, IBM Data Science",1,Yes,"TCS, Infosys, Wipro, Accenture, Cognizant, HCL, Microsoft, Deloitte",8
EG00057,Harish Singh,Female,AIML,4th Year,6.28,79.8,86.7,0,0,"JavaScript, Flask, Power BI, R, DSA","IBM Data Science, NPTEL Python",1,No,"TCS, Wipro, Cognizant, HCL",4
EG00058,Yamini Gupta,Male,EEE,2nd Year,6.86,65.2,90.2,0,0,"Keras, Python, SQL",Google Data Analytics,2,No,"TCS, Wipro, Cognizant, HCL",4
EG00059,Yamini Mehta,Female,MECH,2nd Year,7.56,86.8,91.7,0,2,"Machine Learning, Power BI","Udemy DSA, Google Data Analytics, Coursera ML",0,Yes,"Wipro, HCL, Deloitte",3
EG00060,Rahul Reddy,Female,CSE,4th Year,8.27,67.6,54.6,1,2,"AWS, Deep Learning, Django, Keras, Machine Learning, C++","Oracle Java, Udemy DSA, HackerRank SQL",0,No,"Wipro, HCL",2
EG00061,Deepa Hegde,Male,CSE,4th Year,6.67,83.4,83.0,0,0,"AWS, Keras, TensorFlow, C++","AWS Cloud Practitioner, Udemy DSA, IBM Data Science",1,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00062,Kavya Chowdary,Male,CHEM,3rd Year,7.0,84.4,72.2,0,0,"React, DSA, Flask, HTML/CSS, Django, R",,2,No,None,0
EG00063,Pooja Chowdary,Male,MECH,2nd Year,5.98,90.9,69.8,0,0,"Java, SQL, React, AWS, Python",HackerRank SQL,2,No,HCL,1
EG00064,Chetan Joshi,Female,AIML,3rd Year,5.88,99.8,84.2,0,0,"Flask, TensorFlow, Machine Learning, Node.js, Tableau, SQL","NPTEL Python, Cisco CCNA",1,No,HCL,1
EG00065,Zara Chowdary,Female,ECE,1st Year,8.09,68.4,59.0,0,2,"SQL, R","Cisco CCNA, Oracle Java",1,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00066,Neha Pillai,Female,IT,4th Year,8.69,81.5,58.7,0,0,"SQL, Flask, Machine Learning, Power BI, R",Google Data Analytics,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00067,Chetan Murthy,Female,CSE,3rd Year,7.12,79.2,85.0,0,1,"Deep Learning, Keras, SQL",Udemy DSA,0,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00068,Priya Joshi,Male,CSE,2nd Year,8.3,86.3,83.4,0,1,"Power BI, Django",Udemy DSA,1,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00069,Anika Naidu,Male,CSE,4th Year,7.6,84.2,79.5,0,1,"TensorFlow, Git, AWS, Tableau",,1,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
